image_id,avg_robustness
1ffa92b1-8d87-11e8-9daf-6045cb817f5b.,0.7577380952380952
1ffa92b2-8d87-11e8-9daf-6045cb817f5b.,0.7428571428571429
1ffa92b3-8d87-11e8-9daf-6045cb817f5b.,0.7349702380952381
1ffa92b4-8d87-11e8-9daf-6045cb817f5b.,0.6785714285714286
1ffa92b5-8d87-11e8-9daf-6045cb817f5b.,0.825297619047619
1ffa92b6-8d87-11e8-9daf-6045cb817f5b.,0.881547619047619
1ffa92b7-8d87-11e8-9daf-6045cb817f5b.,0.6928571428571428
1ffa92ce-8d87-11e8-9daf-6045cb817f5b.,0.8135416666666667
1ffa92cf-8d87-11e8-9daf-6045cb817f5b.,0.6714285714285714
1ffa92d0-8d87-11e8-9daf-6045cb817f5b.,0.6971726190476191
1ffa92d1-8d87-11e8-9daf-6045cb817f5b.,0.8037202380952381
1ffa92d2-8d87-11e8-9daf-6045cb817f5b.,0.638095238095238
1ffa92d3-8d87-11e8-9daf-6045cb817f5b.,0.6589285714285714
1ffa92d4-8d87-11e8-9daf-6045cb817f5b.,0.6763392857142857
1ffa92d5-8d87-11e8-9daf-6045cb817f5b.,0.7130952380952381
1ffa94d6-8d87-11e8-9daf-6045cb817f5b.,0.6436011904761905
1ffa94d7-8d87-11e8-9daf-6045cb817f5b.,0.6479166666666667
1ffa94d8-8d87-11e8-9daf-6045cb817f5b.,0.674702380952381
1ffa94d9-8d87-11e8-9daf-6045cb817f5b.,0.671577380952381
1ffa94da-8d87-11e8-9daf-6045cb817f5b.,0.750297619047619
1ffa94db-8d87-11e8-9daf-6045cb817f5b.,0.7589285714285714
1ffa94dc-8d87-11e8-9daf-6045cb817f5b.,0.6601190476190476
1ffa94dd-8d87-11e8-9daf-6045cb817f5b.,0.7438988095238095
1ffa94de-8d87-11e8-9daf-6045cb817f5b.,0.736904761904762
1ffa94df-8d87-11e8-9daf-6045cb817f5b.,0.60625
1ffa94e0-8d87-11e8-9daf-6045cb817f5b.,0.7322916666666667
1ffa94e1-8d87-11e8-9daf-6045cb817f5b.,0.6598214285714286
1ffa94e2-8d87-11e8-9daf-6045cb817f5b.,0.7601190476190476
1ffa94e3-8d87-11e8-9daf-6045cb817f5b.,0.6815476190476191
1ffa966f-8d87-11e8-9daf-6045cb817f5b.,0.7029761904761904
1ffa9670-8d87-11e8-9daf-6045cb817f5b.,0.68125
1ffa9671-8d87-11e8-9daf-6045cb817f5b.,0.6284226190476191
1ffa9672-8d87-11e8-9daf-6045cb817f5b.,0.6398809523809523
1ffa9673-8d87-11e8-9daf-6045cb817f5b.,0.6608630952380953
1ffa9680-8d87-11e8-9daf-6045cb817f5b.,0.7760416666666666
1ffa9681-8d87-11e8-9daf-6045cb817f5b.,0.6910714285714286
1ffa9683-8d87-11e8-9daf-6045cb817f5b.,0.8586309523809523
1ffa9684-8d87-11e8-9daf-6045cb817f5b.,0.7238095238095238
1ffa9685-8d87-11e8-9daf-6045cb817f5b.,0.8163690476190476
1ffa968b-8d87-11e8-9daf-6045cb817f5b.,0.6489583333333333
1ffa968d-8d87-11e8-9daf-6045cb817f5b.,0.7727678571428571
